# base_head	8bea3eadebaf4e942ff55e17d6b3a39ea4684862
# core_sha256	794ec672dd0130a76d6f17fb82a9764d379f5b00c157688cf8b76a2a2d3b05c6
# definitions_sha256	04b735fc2c9f88fa0d97909321c73d5b7fd5b58046d2f50af8438e62a9f532b8
# a0_sha256	b2733e8f9058663a9c4c6190b88b188e2910ad119f264abffbfdb76d3121ee0c
# spec_sha256	55b7dda95bd6ec4b02403a521366c1b355e8f402ac254c1db39d785d74d79cab
head	disposition	sources	evidence
family:Select	gap-prose-only	spec-appendix	primitive family label; concrete Select constructors are separate
metatheory:bind	gap-prose-only	spec-appendix	carrier sequencing operation denoted by term:Bind
sort:AbstractNature	type-index-data	core	spec §3.1
sort:Achievement	type-index-data	core	spec §3.1
sort:Activity	type-index-data	core	spec §3.1
sort:Amount	type-index-data	core	spec §3.1
sort:Bool	type-index-data	core	spec §3.1
sort:Cardinal	type-index-data	a0-grammar,core	SmusniA0 type grammar | spec §3.1
sort:Concept	type-index-data	core	spec §3.1
sort:Entity	type-index-data	a0-grammar,core	SmusniA0 type grammar | spec §3.1
sort:Epistemology	type-index-data	core	spec §3.1
sort:Eventuality	type-index-data	a0-grammar,core	SmusniA0 type grammar | spec §3.1
sort:Experience	type-index-data	core	spec §3.1
sort:Ground	type-index-data	core	spec §3.1
sort:Location	type-index-data	core	spec §3.1
sort:Locution	type-index-data	core	spec §3.1
sort:Natural	type-index-data	a0-grammar,core	SmusniA0 type grammar | spec §3.1
sort:Number	type-index-data	a0-grammar,core	SmusniA0 type grammar | spec §3.1
sort:Process	type-index-data	core	spec §3.1
sort:Proposition	type-index-data	core	spec §3.1
sort:Question	type-index-data	core	spec §3.1
sort:Scale	type-index-data	core	spec §3.1
sort:SignToken	type-index-data	core	spec §3.1
sort:State	type-index-data	core	spec §3.1
sort:Text	type-index-data	core	spec §3.1
sort:Time	type-index-data	core	spec §3.1
sort:TruthValue	type-index-data	core	spec §3.1
sort:Unit	type-index-data	core	spec §3.4
sort:UtteranceToken	type-index-data	core	spec §3.1
term:$application	primitive-core	a0-grammar,spec-appendix	SmusniA0 generic application grammar | spec Appendix: the kernel
term:$index	primitive-core	spec-appendix	spec Appendix: the kernel
term:$lexical-predication	primitive-core	spec-appendix	spec Appendix: the kernel
term:$natural	primitive-core	a0-grammar	SmusniA0 atom n
term:$string	primitive-core	spec-appendix	spec Appendix: the kernel
term:$variable	primitive-core	a0-grammar	SmusniA0 atom x
term:+	primitive-core	a0-grammar,core	SmusniA0 t grammar | spec §4.9
term:<	primitive-core	a0-grammar,core,spec-appendix	SmusniA0 t grammar | spec Appendix: the kernel | spec §4.9
term:=	primitive-core	a0-grammar,core	SmusniA0 t grammar | spec §4.5
term:>	gap-prose-only	definitions	definition status blocked "#66"
