definition_id	head	kind	spec_ranges	equation_ranges	case_names	reason
D4.6.Close	Close	definition	748-762	752-753,755-758,760-761	holding-state,direct-event-implicit,direct-event-explicit	The ledger records the section span but lacks equation-case ranges for the three type-directed Close clauses.
D12.Grade	Grade	schema	2108-2137,3908-3929	3924-3925	row-directed	Grade is a pure row-directed schema in section 6.4 and its library equation, not the L5.29 site-introducing lowering.
D5.3.Refer-member-lift	Refer	domain-overload	1582-1596	1584-1585	member-lift	The member-property overload is a purity-demanding defined lift while reference-level Refer remains primitive.
D12.JaiPromote	JaiPromote	schema	3659-3660,4215-4227	4220-4222	tagged-role	Tagged jai is a row-reconstruction schema with its equation in the library.
D12.JaiRaise	JaiRaise	schema-mapping	3661-3666,4229-4268	4245-4248,4255-4262	raised-role,bare-jai-mapping	JaiRaise has a pure row-reconstruction equation plus the bare-jai Context-binding mapping.
D12.ActualClause	ActualClause	definition	4188-4201	4194-4195	actual-event	ActualClause is a required dependency of selected Close and has its library equation in the CAhA clause family.
D12.CanonicalAggregateAt	CanonicalAggregateAt	definition	3997-4022	4001-4002	aggregate-and-complete-gunma	CanonicalAggregateAt is a required dependency of selected Massify.
D12.CoRef	CoRef	definition	4088-4095	4091-4091	mutual-among	CoRef is reached through the CompleteGunmaAt dependency chain.
D4.9.CompleteGunmaAt	CompleteGunmaAt	definition	1023-1037	1032-1034	complete-peer-cover	CompleteGunmaAt is reached through CanonicalAggregateAt and strengthens GunmaAt.
D4.9.GunmaAt	GunmaAt	definition	1023-1037	1028-1030	basis-to-peer-cover	GunmaAt is reached through CompleteGunmaAt.
D4.6.DirectClause	DirectClause	schema	701-729	720-723	defaulted-event-property	DirectClause is a required dependency of selected Close; its equation is a row/default schema.
